2014_08A-14MferWD-Weekday-01,20140901,2
2014_08A-14MferWD-Weekday-01,20141013,2
2014_08A-14MferWD-Weekday-01,20141111,2
2014_08A-14MferHO-Sunday-01,20140907,2
2014_08A-14MferHO-Sunday-01,20140914,2
2014_08A-14MferHO-Sunday-01,20140921,2
2014_08A-14MferHO-Sunday-01,20140928,2
2014_08A-14MferHO-Sunday-01,20141005,2
2014_08A-14MferHO-Sunday-01,20141012,2
2014_08A-14MferHO-Sunday-01,20141019,2
2014_08A-14MferHO-Sunday-01,20141026,2
2014_08A-14MferHO-Sunday-01,20141102,2
2014_08A-14MferHO-Sunday-01,20141109,2
2014_08A-14MferHO-Sunday-01,20140901,1
2014_08A-14MferHO-Sunday-01,20141013,1
2014_08A-14MferHO-Sunday-01,20141111,1
2014_08A-201408BR-Weekday-04,20140901,2
2014_08A-201408BR-Weekday-04,20141013,2
2014_08A-201408BR-Weekday-04,20141111,2
2014_08A-201408BR-Sunday-04,20140901,1
2014_08A-201408BR-Sunday-04,20141013,1
2014_08A-201408BR-Sunday-04,20141111,1
